Date,INVE-A.ST,INVE-B.ST
2022-11-23,191.48419189453125,183.57530212402344
2022-11-24,192.14974975585938,184.0316162109375
2022-11-25,193.86111450195312,185.60975646972656
2022-11-28,191.76943969726562,183.7464141845703
2022-11-29,188.77452087402344,181.9781494140625
2022-11-30,190.10560607910156,183.48023986816406
2022-12-01,190.34327697753906,184.35487365722656
2022-12-02,189.96299743652344,183.6703643798828
2022-12-05,192.2448272705078,185.6667938232422
2022-12-06,189.91543579101562,183.09996032714844
2022-12-07,188.15652465820312,181.8831024169922
2022-12-08,187.49099731445312,181.02748107910156
2022-12-09,190.81866455078125,184.33583068847656
2022-12-12,190.53343200683594,184.3928680419922
2022-12-13,194.52667236328125,187.45404052734375
2022-12-14,195.57249450683594,188.30966186523438
2022-12-15,191.76943969726562,183.3091278076172
2022-12-16,186.25498962402344,179.8866729736328
2022-12-19,185.92222595214844,179.60147094726562
2022-12-20,184.21087646484375,178.6508026123047
2022-12-21,186.49267578125,181.3887481689453
2022-12-22,183.83053588867188,179.0310821533203
2022-12-23,184.92391967773438,180.09584045410156
2022-12-26,184.92391967773438,180.09584045410156
2022-12-27,186.20745849609375,181.5218505859375
2022-12-28,185.3517608642578,180.4190673828125
2022-12-29,187.7286834716797,182.43447875976562
2022-12-30,184.30593872070312,179.2592315673828
2023-01-02,186.3025360107422,181.10353088378906
2023-01-03,187.82376098632812,182.9288330078125
2023-01-04,189.91543579101562,185.2484893798828
2023-01-05,189.67774963378906,184.5069580078125
2023-01-06,189.67774963378906,184.5069580078125
2023-01-09,192.53005981445312,189.0891876220703
2023-01-10,190.72360229492188,187.6822052001953
2023-01-11,197.18881225585938,194.27040100097656
2023-01-12,199.8509521484375,196.69461059570312
2023-01-13,198.99526977539062,195.98159790039062
2023-01-16,200.51646423339844,197.07489013671875
2023-01-17,197.9494171142578,195.458740234375
2023-01-18,197.3789520263672,194.50807189941406
2023-01-19,192.9103546142578,191.03810119628906
2023-01-20,193.95620727539062,192.3690643310547
2023-01-23,197.2838897705078,195.88653564453125
2023-01-24,196.99864196777344,194.17530822753906
